Time,X_Position,Y_Position,Grip_Force,Vertical_Error,Grip_Force_Error
0,-0.109974,0.004697685,6.04393,0,0
0.0098279781,-0.109451,0.00474102,6.05356,0,0
0.0198265981,-0.108955,0.004782195,6.06271,0,0
0.0298149981,-0.108436,0.004867695,6.08171,0,0
0.0398286981,-0.107943,0.004948875,6.09975,0,0
0.0508469981,-0.107427,0.005026005,6.11689,0,0
0.0618459981,-0.106864,0.00513711,6.14158,0,0
0.0728563981,-0.106326,0.00524268,6.16504,0,0
0.0838379981,-0.105764,0.00534294,6.18732,0,0
0.0948397981,-0.105226,0.005624865,6.24997,0,0
0.1058119981,-0.104661,0.005892705,6.30949,0,0
0.1168159981,-0.104117,0.006147135,6.36603,0,0
0.1278249981,-0.103543,0.00656478,6.45884,0,0
0.1388179981,-0.102991,0.006961545,6.54701,0,0
0.1498399981,-0.102411,0.00733851,6.63078,0,0
0.1608209981,-0.101859,0.007948935,6.76643,0,0
0.1712269981,-0.101281,0.008528805,6.89529,0,0
0.1822169981,-0.10075,0.00907974,7.01772,0,0
0.1931989981,-0.100158,0.009948555,7.21079,0,0
0.2048319981,-0.09957675,0.010773945,7.39421,0,0
0.2158299981,-0.0989285,0.011558025,7.56845,0,0
0.2268349981,-0.0983315,0.012357495,7.74611,0,0
0.2378179981,-0.09771675,0.013117005,7.91489,0.000154395,0.03431
0.2488399981,-0.097122625,0.01383849,8.07522,0.00083190875,0.184868611111111
0.2598459981,-0.09657975,0.014716845,8.27041,0.0016352375,0.363386111111111
0.2708249981,-0.0960355,0.015551235,8.45583,0.002413025,0.536227777777778
0.2818469981,-0.0955265,0.016343955,8.63199,0.00310965,0.691033333333333
0.2928369981,-0.094996125,0.01719729,8.82162,0.0038908,0.864622222222222
0.3038009981,-0.094478375,0.018007965,9.00177,0.004622125,1.02713888888889
0.3148309981,-0.09391875,0.01877814,9.17292,0.0052585375,1.16856388888889
0.3255679981,-0.093367125,0.019569735,9.34883,0.005950275,1.32228333333333
0.3365779981,-0.092803,0.02032173,9.51594,0.006534825,1.45218333333333
0.3478549981,-0.0922085,0.021036195,9.67471,0.0070584375,1.56854166666667
0.3588699981,-0.091615625,0.021702195,9.82271,0.0075830625,1.685125
0.3698519981,-0.091050875,0.02233494,9.96332,0.00798045,1.77343333333333
0.3808229981,-0.090461125,0.0230391,10.1198,0.0084188625,1.87085833333333
0.3918369981,-0.089898375,0.0237078,10.2684,0.008892375,1.97608333333333
0.4028399981,-0.08930925,0.0243432,10.4096,0.0092051875,2.04559722222222
0.4139239981,-0.088716375,0.025002,10.556,0.009502925,2.11176111111111
0.4248119981,-0.0881465,0.0256275,10.695,0.009865275,2.19228333333333
0.4358129981,-0.087546375,0.02622195,10.8271,0.0100282875,2.22850833333333
0.4468119981,-0.08696975,0.0267849,10.9522,0.01011355,2.24745555555556
0.4578239981,-0.086366125,0.0273195,11.071,0.010302575,2.28946111111111
0.4688229981,-0.085791875,0.027828,11.184,0.01024865,2.27747777777778
0.4798339981,-0.08519525,0.02836035,11.3023,0.0101643375,2.25874166666667
0.4907989981,-0.084625875,0.0288657,11.4146,0.0102272625,2.272725
0.5018339981,-0.084029125,0.0293463,11.5214,0.0099940375,2.22089722222222
0.5128449981,-0.083457,0.0301797,11.7066,0.0103178125,2.29284722222222
0.5238179981,-0.08285675,0.0309717,11.8826,0.0102923625,2.28719166666667
0.5348249981,-0.08228375,0.0317241,12.0498,0.0101625375,2.25834166666667
0.5458229981,-0.081689125,0.0326277,12.2506,0.010118,2.24844444444444
0.5568169981,-0.081127875,0.0334863,12.4414,0.0103070875,2.29046388888889
0.5677959981,-0.08055325,0.03430215,12.6227,0.0100621375,2.23603055555556
0.5788449981,-0.08001525,0.0351738,12.8164,0.010189025,2.26422777777778
0.5895419981,-0.079462125,0.0360018,13.0004,0.0098439875,2.18755277777778
0.6006559981,-0.078938875,0.0367884,13.1752,0.009811675,2.18037222222222
0.6115749981,-0.078394875,0.03756105,13.3469,0.00973655,2.16367777777778
0.6225869981,-0.077874125,0.038295,13.51,0.0091460125,2.03244722222222
