Time,X_Position,Y_Position,Grip_Force,Vertical_Error,Grip_Force_Error
0,-0.109576,0.0195765,28.051,0,0
0.0099800000000001,-0.108894,0.02002995,28.3533,0,0
0.02003,-0.108242,0.0204609,28.6406,0,0
0.0300199999999999,-0.107556,0.02087025,28.9135,0,0
0.04,-0.106901,0.02136975,29.2465,0,0
0.05,-0.106212,0.02184405,29.5627,0,0
0.0600000000000001,-0.105556,0.0222948,29.8632,0,0
0.07003,-0.104872,0.0228342,30.2228,0,0
0.0800099999999999,-0.104228,0.0233466,30.5644,0,0
0.0900400000000001,-0.103563,0.0238335,30.889,0,0
0.10011,-0.102941,0.02434005,31.2267,0,0
0.10998,-0.102301,0.02482125,31.5475,0,0
0.12004,-0.101701,0.02527845,31.8523,0,0
0.13002,-0.101083,0.02581215,32.2081,0,0
0.14001,-0.100501,0.02631915,32.5461,0,0
0.15003,-0.09989675,0.0268008,32.8672,0,0
0.16002,-0.099326375,0.02733135,33.2209,0,0
0.17001,-0.098730125,0.02783535,33.5569,0,0
0.18003,-0.098162875,0.02831415,33.8761,0,0
0.19002,-0.097594875,0.0289056,34.2704,0,0
0.20007,-0.09699775,0.02946765,34.6451,0,0
0.20997,-0.09640125,0.0300015,35.001,0,0
0.22,-0.09583825,0.03066675,35.4445,0,0
0.23003,-0.09528175,0.0312987,35.8658,0,0
0.24002,-0.094707625,0.031899,36.266,0,0
0.25003,-0.09417275,0.0325809,36.7206,0,0
0.26006,-0.09362525,0.03322875,37.1525,0,0
0.27001,-0.093115625,0.0338442,37.5628,0,0
0.28004,-0.092592375,0.0345372,38.0248,0,0
0.29001,-0.0921055,0.03519555,38.4637,0,0
0.29999,-0.091604375,0.03582105,38.8807,0,0
0.31007,-0.091133375,0.03641775,39.2785,0,0
0.32001,-0.090643,0.03698445,39.6563,0,0
0.33004,-0.090181,0.03752295,40.0153,0,0
0.34002,-0.0897025,0.0379935,40.329,0,0
0.34996,-0.08925275,0.0384405,40.627,0,0
0.36007,-0.088787875,0.03886515,40.9101,0,0
0.37002,-0.088353625,0.0391908,41.1272,0,0
0.38001,-0.0879075,0.0395001,41.3334,0,0
0.39005,-0.087492,0.03979395,41.5293,0,0
0.40005,-0.08706575,0.04005255,41.7017,0,0
0.41003,-0.086670625,0.04029825,41.8655,0,0
0.42,-0.08626775,0.0405315,42.021,0,0
0.43001,-0.085894125,0.04073895,42.1593,0,0
0.44004,-0.08552825,0.04093605,42.2907,0,0
0.45001,-0.08515175,0.04112325,42.4155,0,0
0.46006,-0.084801625,0.04131495,42.5433,0,0
0.47001,-0.08444175,0.04149705,42.6647,0,0
0.48001,-0.084105,0.04167,42.78,0,0
0.49002,-0.08375775,0.04192155,42.9477,0,0
0.50004,-0.083434875,0.04216065,43.1071,0,0
0.50999,-0.083106125,0.0423876,43.2584,0,0
0.51996,-0.08280225,0.0426651,43.4434,0,0
0.53001,-0.082495375,0.0429285,43.619,0,0
0.54001,-0.08221525,0.04317885,43.7859,0,0
0.54997,-0.081935625,0.04345425,43.9695,0,0
0.56,-0.081684625,0.043716,44.144,0,0
0.57002,-0.081437,0.04396455,44.3097,0,0
0.57998,-0.08121625,0.0442212,44.4808,0,0
0.58998,-0.0809985,0.0444651,44.6434,0,0
0.59999,-0.080801625,0.0446967,44.7978,0,0
0.60994,-0.0806025,0.0449805,44.987,0,0
0.61994,-0.08042,0.04525005,45.1667,0,0
0.62998,-0.080244625,0.0455061,45.3374,0,0
0.64,-0.08006625,0.0458247,45.5498,0,0
